Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude
Accipiter albogularis,Accipitridae,Accipitriformes,27.7,10.6,14.7,62.0,235.2,33.9,169.0,248.8,Forest,Carnivore,Vertivore,Insessorial,2.0,37461.21,-11.73,-4.02,158.49,-8.15
Accipiter badius,Accipitridae,Accipitriformes,20.6,8.8,11.6,43.0,186.7,32.9,140.6,131.2,Shrubland,Carnivore,Vertivore,Insessorial,3.0,22374973.0,-29.47,46.39,44.98,8.23
Accipiter bicolor,Accipitridae,Accipitriformes,25.0,8.6,12.7,58.1,229.6,24.6,186.3,287.5,Woodland,Carnivore,Vertivore,Generalist,2.0,14309701.27,-55.72,23.73,-59.96,-10.1
Accipiter brachyurus,Accipitridae,Accipitriformes,22.5,8.9,11.9,61.2,202.2,31.7,140.8,142.0,Forest,Carnivore,Vertivore,Insessorial,2.0,35580.71,-6.31,-4.08,150.68,-5.45
Accipiter brevipes,Accipitridae,Accipitriformes,21.1,8.7,11.1,46.4,217.6,40.2,153.5,186.5,Forest,Carnivore,Vertivore,Generalist,3.0,2936751.8,31.19,55.86,45.33,45.24
Accipiter butleri,Accipitridae,Accipitriformes,20.0,6.6,12.0,48.7,166.0,25.8,127.0,122.0,Forest,Carnivore,Vertivore,Insessorial,1.0,327.84,7.87,9.26,93.17,8.42
Accipiter castanilius,Accipitridae,Accipitriformes,20.5,8.3,10.9,52.6,163.5,24.0,135.4,157.5,Forest,Carnivore,Vertivore,Insessorial,2.0,2096401.63,-10.36,10.12,18.29,0.71
Accipiter cirrocephalus,Accipitridae,Accipitriformes,19.2,7.7,9.6,60.3,213.0,37.8,155.4,165.7,Forest,Carnivore,Vertivore,Generalist,2.0,5488639.45,-43.64,0.04,137.81,-23.36
Accipiter collaris,Accipitridae,Accipitriformes,20.0,8.6,11.0,43.6,165.9,30.0,125.0,97.8,Forest,Carnivore,Vertivore,Insessorial,2.0,253265.36,-13.2,11.25,-75.57,2.47
Accipiter cooperii,Accipitridae,Accipitriformes,25.4,8.6,13.2,62.0,241.2,32.3,188.4,429.7,Woodland,Carnivore,Vertivore,Aerial,3.0,8393137.06,23.28,53.31,-100.49,41.25
Accipiter erythrauchen,Accipitridae,Accipitriformes,21.1,8.6,11.2,59.5,191.2,30.8,154.8,156.0,Forest,Carnivore,Vertivore,Generalist,1.0,48150.32,-3.91,2.65,128.19,-1.32
Accipiter erythropus,Accipitridae,Accipitriformes,17.6,7.2,9.6,43.0,154.6,27.1,104.4,111.2,Forest,Carnivore,Vertivore,Insessorial,1.0,3904812.09,-9.36,14.73,10.44,3.48
Accipiter fasciatus,Accipitridae,Accipitriformes,28.5,11.2,15.2,71.9,269.9,38.3,206.0,358.7,Forest,Carnivore,Vertivore,Generalist,1.0,8180196.71,-43.64,-1.7,134.95,-24.45
Accipiter francesiae,Accipitridae,Accipitriformes,20.2,8.7,10.7,48.1,155.8,27.8,127.5,136.8,Forest,Carnivore,Invertivore,Insessorial,1.0,519468.81,-25.61,-11.36,46.67,-19.49
Accipiter gentilis,Accipitridae,Accipitriformes,33.7,11.6,18.0,67.3,337.6,36.3,241.1,866.0,Forest,Carnivore,Vertivore,Generalist,2.0,31775270.74,17.1,70.39,19.06,54.91
Accipiter griseiceps,Accipitridae,Accipitriformes,24.1,8.8,12.4,52.0,187.2,26.8,141.2,251.8,Forest,Carnivore,Vertivore,Insessorial,1.0,140604.94,-5.66,1.88,121.18,-1.96
Accipiter gularis,Accipitridae,Accipitriformes,23.3,6.6,9.1,43.6,162.6,33.2,106.4,120.7,Forest,Carnivore,Vertivore,Insessorial,3.0,4785704.92,24.25,59.0,117.11,49.07
Accipiter gundlachi,Accipitridae,Accipitriformes,26.0,8.3,16.3,71.3,228.0,27.1,223.0,675.0,Forest,Carnivore,Vertivore,Aerial,1.0,33511.43,19.82,23.16,-79.36,21.62
Accipiter haplochrous,Accipitridae,Accipitriformes,23.7,9.6,13.2,58.9,227.8,32.7,155.0,198.4,Forest,Carnivore,Vertivore,Insessorial,1.0,16389.59,-22.4,-20.09,165.48,-21.33
Accipiter henicogrammus,Accipitridae,Accipitriformes,27.9,10.0,13.6,65.1,230.2,31.1,190.0,358.7,Forest,Carnivore,Vertivore,Insessorial,1.0,22781.85,-0.92,2.65,128.01,0.88
Accipiter henstii,Accipitridae,Accipitriformes,32.6,11.8,17.2,75.0,290.5,27.0,245.0,1050.0,Forest,Carnivore,Vertivore,Insessorial,1.0,434639.7,-25.2,-11.95,46.85,-18.72
Accipiter hiogaster,Accipitridae,Accipitriformes,26.0,9.4,13.9,51.1,197.2,30.8,136.5,326.1,Forest,Carnivore,Vertivore,Insessorial,1.0,794517.61,-11.66,2.65,141.22,-5.26
Accipiter imitator,Accipitridae,Accipitriformes,26.4,9.1,12.2,49.6,200.0,30.0,161.0,222.5,Forest,Carnivore,Vertivore,Insessorial,1.0,10050.21,-8.58,-5.41,156.47,-6.76
Accipiter luteoschistaceus,Accipitridae,Accipitriformes,26.4,7.8,11.9,51.5,188.0,30.3,146.0,214.0,Forest,Carnivore,Vertivore,Insessorial,1.0,28814.74,-6.31,-4.19,150.45,-5.5
Accipiter madagascariensis,Accipitridae,Accipitriformes,19.7,7.4,9.4,58.0,190.8,28.7,149.5,180.4,Forest,Carnivore,Vertivore,Insessorial,1.0,476517.51,-25.61,-11.95,46.69,-19.43
Accipiter melanochlamys,Accipitridae,Accipitriformes,25.9,11.0,13.9,62.7,228.6,32.4,164.8,265.0,Forest,Carnivore,Vertivore,Generalist,1.0,115449.94,-10.07,-0.95,141.87,-5.31
Accipiter melanoleucus,Accipitridae,Accipitriformes,29.6,10.3,16.3,75.8,302.8,35.0,219.4,699.0,Forest,Carnivore,Vertivore,Generalist,1.0,9067092.6,-34.84,18.84,25.85,-5.51
Accipiter meyerianus,Accipitridae,Accipitriformes,35.0,12.6,18.6,75.4,309.5,33.0,200.0,763.5,Forest,Carnivore,Vertivore,Generalist,1.0,269144.41,-10.12,2.29,141.36,-4.7
Accipiter minullus,Accipitridae,Accipitriformes,16.5,6.6,8.8,41.3,150.4,29.6,105.2,87.4,Forest,Carnivore,Vertivore,Generalist,1.0,6794381.58,-34.84,17.8,29.57,-9.71
Accipiter nanus,Accipitridae,Accipitriformes,17.6,7.6,10.1,46.6,152.4,29.5,109.0,117.0,Forest,Carnivore,Invertivore,Insessorial,1.0,110477.0,-5.7,1.76,121.34,-1.08
Accipiter nisus,Accipitridae,Accipitriformes,19.6,8.4,10.0,53.6,207.4,35.5,155.5,220.8,Forest,Carnivore,Vertivore,Insessorial,2.0,23601609.31,26.9,70.53,77.29,54.67
Accipiter novaehollandiae,Accipitridae,Accipitriformes,31.6,11.5,16.5,69.0,261.9,28.9,183.6,326.1,Forest,Carnivore,Vertivore,Insessorial,1.0,1807067.3,-43.64,-10.51,143.49,-26.72
Accipiter ovampensis,Accipitridae,Accipitriformes,20.5,7.5,10.3,49.4,222.4,38.4,155.0,195.0,Shrubland,Carnivore,Vertivore,Aerial,1.0,7295779.86,-27.22,13.92,23.37,-8.53
Accipiter poliocephalus,Accipitridae,Accipitriformes,25.0,10.1,13.7,60.3,210.5,32.1,157.2,214.8,Forest,Carnivore,Vertivore,Insessorial,1.0,671500.51,-11.66,0.04,140.74,-5.32
Accipiter poliogaster,Accipitridae,Accipitriformes,27.7,8.0,13.2,52.4,240.4,29.6,174.6,315.0,Forest,Carnivore,Vertivore,Insessorial,2.0,7203530.62,-30.38,6.82,-60.09,-7.81
Accipiter princeps,Accipitridae,Accipitriformes,33.6,13.8,17.8,68.0,266.3,29.2,192.3,214.8,Forest,Carnivore,Vertivore,Insessorial,1.0,11549.62,-6.11,-4.23,151.04,-5.35
Accipiter rhodogaster,Accipitridae,Accipitriformes,20.5,7.9,10.8,53.4,172.6,29.7,125.8,172.7,Forest,Carnivore,Vertivore,Insessorial,1.0,146036.85,-5.7,1.76,121.39,-1.93
Accipiter rufitorques,Accipitridae,Accipitriformes,26.0,10.3,13.7,59.2,217.6,34.1,146.0,209.0,Forest,Carnivore,Vertivore,Generalist,1.0,17581.12,-19.2,-16.15,169.39,-17.45
Accipiter rufiventris,Accipitridae,Accipitriformes,20.3,7.8,10.0,54.2,218.6,38.1,165.8,198.0,Forest,Carnivore,Vertivore,Aerial,1.0,756057.21,-34.04,15.67,32.6,-7.01
Accipiter soloensis,Accipitridae,Accipitriformes,25.6,8.6,9.7,39.5,187.8,39.0,123.4,164.8,Forest,Carnivore,Vertivore,Insessorial,3.0,2375886.74,20.24,47.24,117.13,31.97
